[21:29:29] [Anonimo | Teste] Movimento detectado
[21:29:29] [Anonimo | Teste] Movimento cessado
[21:29:30] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:31] [Anonimo | Teste] Movimento detectado
[21:29:32] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:29:32] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:33] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:34] [Anonimo | Teste] Movimento cessado
[21:29:35] [Anonimo | Teste] Movimento detectado
[21:29:36] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:37] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:37] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:38] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:39] [Anonimo | Teste] Movimento cessado
[21:29:40] [Anonimo | Teste] Movimento detectado
[21:29:41] [Anonimo | Teste] Rosto: Olhando Para Baixo (SENT)
[21:29:43] [Anonimo | Teste] Movimento cessado
[21:29:43] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:43] [Anonimo | Teste] Movimento detectado
[21:29:43] [Anonimo | Teste] Movimento cessado
[21:29:43] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:43] [Anonimo | Teste] Movimento detectado
[21:29:43] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:44] [Anonimo | Teste] Movimento cessado
[21:29:44] [Anonimo | Teste] Movimento detectado
[21:29:44] [Anonimo | Teste] Movimento cessado
[21:29:44] [Anonimo | Teste] Rosto: Olhando Para Baixo (SENT)
[21:29:44] [Anonimo | Teste] Movimento detectado
[21:29:44] [Anonimo | Teste] Movimento cessado
[21:29:45] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:45] [Anonimo | Teste] Movimento detectado
[21:29:45] [Anonimo | Teste] Movimento cessado
[21:29:45] [Anonimo | Teste] Movimento detectado
[21:29:45] [Anonimo | Teste] Movimento cessado
[21:29:45] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:45] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:29:45] [Anonimo | Teste] Movimento detectado
[21:29:46] [Anonimo | Teste] Movimento cessado
[21:29:46] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:47] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:47] [Anonimo | Teste] Movimento detectado
[21:29:47] [Anonimo | Teste] Movimento cessado
[21:29:47] [Anonimo | Teste] Movimento detectado
[21:29:47] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:47] [Anonimo | Teste] Movimento cessado
[21:29:47] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:47] [Anonimo | Teste] Movimento detectado
[21:29:48] [Anonimo | Teste] Movimento cessado
[21:29:48] [Anonimo | Teste] Movimento detectado
[21:29:48] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:48] [Anonimo | Teste] Rosto: Olhando Para Baixo (SENT)
[21:29:49] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:49] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:50] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:50] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:50] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:52] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:29:52] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:53] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:53] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:54] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:29:54] [Anonimo | Teste] Movimento cessado
[21:29:54] [Anonimo | Teste] Movimento detectado
[21:29:55] [Anonimo | Teste] Rosto: Olhando Para Baixo (SENT)
[21:29:55] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:29:55] [Anonimo | Teste] Movimento cessado
[21:29:55] [Anonimo | Teste] Movimento detectado
[21:29:56] [Anonimo | Teste] Movimento cessado
